Source,Source File,Model Phase,Model Subphase,QRP Coded,target,Practice coded,include,Notes,Reason coded,Practice Source,Evidence Source,Reason source,Solution Source,Source
Internal,,Houlahan,,,,,,,,,,,,
Internal,,Model Evaluation,Model Selection,,,,,,FROM [[source_notes/@Shmueli:2010ec]],,,,,
Internal,,,,,,,,,,,,,,
QRP_modelling_database,[[Bennett-2013-selective-reporting-weighting-evaluation-2]],Model Evaluation,Model Performance Metric,S-hacking,output,"Changing the relative weighting or selective reporting after observing model results, when there are multiple model evaluation analyses.",TRUE,,,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation [...] There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,[[@Bennett2013]]
QRP_modelling_database,[[Bennett-2013-selective-reporting-weighting-evaluation-1]],Model Evaluation,Model Performance Metric,Selective Reporting,output,"Selective reporting of model evaluation metrics after observing model results, when there are multiple model evaluation metrics or analyses.",TRUE,,,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation [...] There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,[[@Bennett2013]]
QRP_modelling_database,[[Nagy-2025-modifying-measurements-1]],Model Evaluation,Model Performance Metric,S-hacking,output,Changing performance metrics to increase perception of performance after fitting model and observing model evaluation / model checking results.,TRUE,,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-modifying-measurements-2]],Model Evaluation,Model Performance Metric,Selective Reporting,output,Selectively reporting performance metrics that increase perception of performance after fitting model and observing model evaluation / model checking results.,TRUE,Have split this practice into two.,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",,[[@Nagy2025]]
QRP_modelling_database,[[Hofman-2023-reaccessing-test-data-2]],Data,Data Processing,Sample Curation,input,Collecting new data after observing model checking or model evaluation results (optional stopping rule).,TRUE,,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""","""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",,[[@hofman2023]]
QRP_modelling_database,[[Hofman-2023-reaccessing-test-data-1]],Model Construction,Model Specification,S-hacking,model,Changing the model specification after observing modelling checking or model evaluation results.,TRUE,,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""","""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",,[[@hofman2023]]
QRP_modelling_database,[[Liu-2020-selective-reporting]],,,,,,,,,,,,,[[@Liu2020]]
