source,file name,QRP_description,qrp_coded,description,model_phase,model_subphase,include,practice_target,QRP_reason,practice_description,practice_evidence,practice_notes,practice_reason,practice_solution
[[@Bodner2020]],Prosperi-2019-BF-hacking,Bayes Factor hacking: optimising the model to obtain a Bayes Factor above the required threshold.,S-hacking,S-hacking,"Model Evaluation, Model Construction","Data Processing, Model Performance Metric, Model Specification",FALSE,"model, output",Artificially inflates model performance and may result in spuriously selected model.," ""[[@Simonsohn2015]] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting."""," ""[[@Simonsohn2015]] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting.""","Bayes Factor Hacking by data peeking, removing outliers, or changing model specification (dependent variable and/or predictor variables) in order to find model with greatest Bayes Factor.",,
[[@Konijn2015]],Konijn-2015-Bayes-factor-hacking,Bayes Factor hacking: optimising the model to obtain a Bayes Factor above the required threshold.,S-hacking,S-hacking,Model Evaluation,Model Performance Metric,FALSE,"output, model",,"""However, a Bayesian approach is not without fallacies. That is, the results of Bayesian statistics can lead to instrumental optimization of Bayes factors (i.e., “BF-hacking”) similar to the phenomenon of p-hacking in traditional NHST, especially when dichotomous cut-off values for evidentiary power (and thus “publishability”) are set. In line with the famous quote of Rosnow and Rosenthal (1989, p. 1277), we argue that “God would love a Bayes Factor of 3.01 nearly as much as a BF of 2.99” (see section “BF-hacking”). Furthermore, not any BF-value can be taken as conclusive support without careful consideration of its interpretation, especially when BF values are small""",,,,
[[@feng2019]],Feng-2019-model-output-format-transformation,Changing model output format or transformation after observing results.,S-hacking,S-hacking,Model Application,Model Results,TRUE,output,,,,,"""The raw model predictions are sometimes transformed (for example, logistic transformation) via different methods under different assumptions.""",
[[@feng2019]],Feng-2019-performance-metric,Changing model output or evaluation metric thresholds after observing outcome.,S-hacking,S-hacking,Model Evaluation,Model Performance Metric,TRUE,output,,,,,"""Calculation of some evaluation indices requires a threshold. The threshold will vary by study because there is no single, default method for choosing a threshold.""",
[[@feng2019]],Feng-2019-model-output-threshold-hacking,Changing model output or evaluation metric thresholds after observing outcome.,S-hacking,S-hacking,Model Application,Model Output,TRUE,output,,,,,"""Often, the model predictions are in continuous format, which is subsequently transformed into a binary prediction under a particular threshold. Researchers have proposed different ways of thresholding for different purposes and under varied assumptions.""",
[[@Liu2020]],Liu-2020-changing-random-seed-after-seeing-results,Changing random seed and refitting model after seeing results to improve model performance.,S-hacking,S-hacking,"Model Construction, Model Evaluation","Model Specification, Model Tuning",TRUE,input,Model performance overrated.,"""Machine learning researchers note similar issues, for example tuning random seeds can drastically alter results"" (Cites: Peter Henderson, Riashat Islam, Philip Bachman, Joelle Pineau, Doina Precup, and David Meger. 2018. Deep reinforcement learning that matters. In Proceedings of the AAAI Conference on Artificial Intelligence)",,,,
[[@hofman2023]],Hofman-2023-reaccessing-test-data-1,Changing the model specification or otherwise continuing to optimise the model after already validating or evaluating it on the test or holdout data.,Model Fishing,S-hacking,Model Construction,Model Specification,TRUE,model,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""",,"""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",
[[@hofman2023]],Hofman-2023-overhyping,Changing the model specification or otherwise continuing to optimise the model after already validating or evaluating it on the test or holdout data.,Model Fishing,S-hacking,"Model Evaluation, Model Construction, Model Application","Model Performance Metric, Model Tuning, Outcome Variable",TRUE,model,,"""One potentially common form \[of data leakage\] is due to continuing to optimize a model after having evaluated it on the test set (e.g., by adjusting hyperparameters or changing evaluation metrics after accessing the test set), known as “over-hyping” (Hosseini et al., 2020). While multiple accesses to the test set clearly violate the underlying principle of out-of-sample testing, in practice it may be common for practitioners to accidentally make this mistake in the same way that “HARK-ing”, or hypothesizing after results are known, is common in explanatory modeling (Kerr, 1998). \[...\] Less obvious sources of leakage can occur due to pre-processing or feature selection applied to both training and test data, use of illegitimate features that leak information about the outcome variable, lack of independence between training and test data, and use of future data in time series modeling, among others (Kapoor and Narayanan, 2022).""","""even with the dataset and model specification held fixed, exercising just a few degrees of freedom (specifically, treating the problem as classification versus regression, filtering or thresholding data, and choosing different performance metrics) is shown to change the qualitative nature of the results. For instance, if one operationalizes this exercise as a classification problem by building a model to predict whether a post will receive at least 10 re-posts, one can obtain impressive-sounding accuracies close to 100%. If, however, one treats this as a regression exercise to predict how many re-posts a given post gets without any data filtering, the R2 hovers around a relatively modest 35%. The reason for the difference comes from the fact that only a small fraction of posts exceed the threshold of 10 re-posts, and predicting which posts do—and how far they spread—is quite challenging. Given the stark difference in these numbers and pressure to report positive, strong results, a researcher who tries both approaches, even if only during the training and validation phase, might, upon seeing the results, publish the classification model as a success and discard the regression model as a failure. \[...\] The other three participants described strategies that involved re-accessing test data. Such steps would need to be explicitly reported as data exploration in communicating the results of research; if not reported, they would jeopardize the reproducibility of the reported test metrics. P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyperparameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""",,"""One of the simplest reasons for unreliable results is the (often unintentional) failure to adequately separate the training and validation sets from the test set, known as “leakage”. Sometimes this is as simple as mistakenly including the test examples in the training process (Wang, 2019; Oner et al., 2020). Other times there are more subtle forms of 'leakage'.""","""After the researcher has trained the model and proceeds to calculate test set performance, it is critical that they do not return to the training and validation phase or otherwise continue to manipulate the model."""
[[@lewis2023]],Lewis-2023-modifying-model-post-validation,Changing the model specification or otherwise continuing to optimise the model after already validating or evaluating it on the test or holdout data.,Model Fishing,S-hacking,Model Construction,Model Specification,TRUE,model,Model will be overfit to held-out data.,"""model evaluation using in-sample data will share any systematic errors, and a researcher using cross-validation may overfit the held-out data by modifying models post hoc after cross-validation""",,,,
[[@Bennett2013]],Bennett-2013-selective-reporting-weighting-evaluation-2,"Changing the relative weighting of model performance metrics after observing model results, when there are multiple model evaluation analyses.",S-hacking,S-hacking,Model Evaluation,Model Performance Metric,TRUE,output,,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation [...] There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,
[[@McDermott2021]],McDermott-2021-over-claiming-generalisability,Claiming the model has greater generalisability or credibility than it does.,Overhyping,Overhyping,Model Application,Inference,TRUE,output,,"""Just as statistical reproducibility is like internal validity, replicability is closely related to external validity (8), as it describes the notion of how well the desired results can be reproduced under conditions that match the conceptual description of the purported effect. Replicability is task-definition dependent; claiming a task has a greater conceptual horizon of generalizability makes it harder to satisfy this requirement.""",,,,
[[@Auspurg2021]],Nagy-2025-data-peeking-optional-stopping,Collecting new data and refitting model after observing model evaluation / model checking results (optional stopping rules).,Data Curation,Sample Curation,"Model Construction, Model Evaluation",Data Collection,TRUE,input,Overrates model performance and may result in spuriously selected model.,"""Monitoring hypothesis tests during data collection, and stopping when statistical inference is favorable, without controlling for sequential testing"" e.g. ""Researcher is collecting responses and tests the hypothesis after every participant - when significance is reached, the researcher stops collecting data.""",,Is this S-hacking or Sample Curation? outcome variable or performance measure is indirectly manipulated by directly manipulating input data.,"""inflated type 1 error, reduced replicability"" from the following sources: - de Heide, R., & Grünwald, P. D. (2021). Why optional stopping can be a problem for Bayesians. Psychonomic Bulletin & Review, 28(3), 795–812. [https://doi.org/10.3758/s13423-020-01803-x](https://doi.org/10.3758/s13423-020-01803-x) - Lakens, D. (2022). Sample size justification. Collabra. Psychology, 8(1). [https://doi.org/10.1525/collabra.33267](https://doi.org/10.1525/collabra.33267) - Schönbrodt, F. D., & Perugini, M. (2013). At what sample size do correlations stabilize? Journal of Research in Personality, 47(5), 609–612. [https://doi.org/10.1016/j.jrp.2013.05.009](https://doi.org/10.1016/j.jrp.2013.05.009) - Schönbrodt, F. D., Wagenmakers, E.-J., Zehetleitner, M., & Perugini, M. (2017). Sequential hypothesis testing with Bayes factors: Efficiently testing mean differences. Psychological Methods, 22, 322–339. doi:10.1037/met0000061 [OSF project with reproducible code, workshop slides, presentation slides] - Wicherts, J. M., Veldkamp, C. L. S., Augusteijn, H. E. M., Bakker, M., van Aert, R. C. M., & van Assen, M. A. L. M. (2016). Degrees of freedom in planning, running, analyzing, and reporting psychological studies: A checklist to avoid p-hacking. Frontiers in Psychology, 7, 1832. [https://doi.org/10.3389/fpsyg.2016.01832](https://doi.org/10.3389/fpsyg.2016.01832)""",
[[@hofman2023]],Hofman-2023-reaccessing-test-data-2,Collecting new data and refitting model after observing model evaluation / model checking results (optional stopping rules).,Data Curation,Sample Curation,"Model Construction, Model Evaluation",Data Processing,TRUE,input,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""",,"""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",
[[@Liu2020]],Liu-2020-executing-alternative-analyses,"Conducting multiple different analyses or model variations after observing model checking / model performance results, selectively reporting only those analyses that yield favourable results without disclosing the full range of analyses performed.",Model Fishing,Executing Alternative Analyses,Model Evaluation,,,"input, model, output",,,,,,
[[@Babel2019]],Babel-2019-constructing-new-model,Constructing new model / using new modelling approach rather than applying pre-existing one that might be superior.,Poor Practice,Poor Practice,Model Construction,,FALSE,model,Novel model / approach may be inferior to pre-existing model / approach.,,,,"""Constructing a new model rather than using a pre-existing one could prove profitable in the long term. Interviewee B reported that while no direct application was determined, the model would contribute to establish an innovative orientation of the research group in hydrology: its existence would open up collaborations with other groups and funding opportunities, as well as enable to attract researchers whose expertise would be durably beneficial for the institute.""",
