model_phase,model_subphase,qrp_coded,target,practice_coded,include,notes,reason_coded,practice_source,evidence_source,reason_source,solution_source,source
Model Construction,Model Selection,Model Dredging,model,"Dredging for models in unconstrained model space, where model space is not informed by theory or consists of models that are biologically implausible.",TRUE,NA,NA,"""Stepwise-type methods, which use overall F statistics to include and/or exclude variables, might appear suitable for achieving high explanatory power. However, optimizing explanatory power in this fash- ion conceptually contradicts the validation step, where variable inclusion/exclusion and the structure of the statistical model are carefully designed to represent the theoretical model. Hence, proper explanatory model selection is performed in a constrained manner. In the words of Jaccard (2001): Trimming potentially theoretically mean- ingful variables is not advisable unless one is quite certain that the coefficient for the variable is near zero, that the variable is in- consequential, and that trimming will not introduce misspecification error.""",NA,NA,NA,[@Shmueli2010]
Model Evaluation,Model Verification,Selective Debugging,model,Error checking only when unexpected or anomalous results are produced.,TRUE,NA,NA,"""When model code reaches a critical size (exceeded by all but the simplest models), error checking tends to occur only (or mostly) when results depart from expectations, and thus has more of the character of systematic bias than systematic checking.""",NA,"""If the model is scrutinized mostly in those situations when strange results occur, then strange results will tend to be corrected (when a model error is found) so that the model reconfirms expectations. On the flip side, when model results confirm expectations, error checking tends to be only cursory and the model will go uncorrected, even if wrong. Thus, there is a bias towards confirmation of expectations.""",NA,[@Risbey2005]
"Data, Model Evaluation, Model Construction","Data Partitioning, NA, Model Tuning",Poor Practice,input,"Resubstitution: assessing model performance on training set only or failing to evaluate model on independent data, or on partitioned holdout data.",FALSE,NA,Model performance will be overrated due to overfitting to training data.,"""Simply assessing model performance on a training set will lead to biased estimates of performance, because the model will have fit to some regular and irregular features of the sample at hand, but cannot distinguish between them.""",NA,"""will lead to biased estimates of performance, because the model will have fit to some regular and irregular features of the sample at hand, but cannot distinguish between them.""",NA,[@Pu2018]
"Data, Model Evaluation, Model Construction","Data Processing, Model Performance Metric, Model Specification",S-hacking,"model, output",Bayes Factor hacking: optimising the model to obtain a Bayes Factor above the required threshold.,FALSE,"Bayes Factor Hacking by data peeking, removing outliers, or changing model specification (dependent variable and/or predictor variables) in order to find model with greatest Bayes Factor.",Artificially inflates model performance and may result in spuriously selected model.,"""[@Simonsohn2015] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting.""","""[@Simonsohn2015] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting.""",NA,NA,[@Bodner2020]
Model Construction,Model Specification,Overfitting,model,Overfitting a model to calibration dataset by including too many moderators or predictors relative to the size and complexity of the dataset.,TRUE,NA,Spuriously selected model that is overfit to the data and may poorly generalise.,"""This means that, as a reader, you may want to check for the inclusion of too many [predictors] / [[moderators]] in a single model, or ‘[[over-fitting]]’ (the rule of thumb is that the authors may need at least ten effect sizes per estimated moderator) \[64\], and for ‘fishing expeditions’ (also known as ‘[[data dredging]]’ or ‘[[p hacking]]’; that is, non-hypothesis-based exploration for statistical significance \[28, 65, 66\])"" p.7",NA,NA,NA,[@Nakagawa2017]
"Model Construction, Model Evaluation","Model Selection, Model Performance Metric",S-hacking,"model, output",Dredging fitted models for statistical significance or other outcome variable.,TRUE,"Similar to Model Dredging, but model space is constrained by some performance metric or other outcome variable.",Spuriously selected model.,"""This means that, as a reader, you may want to check for the inclusion of too many [predictors] / [[moderators]] in a single model, or ‘[[over-fitting]]’ (the rule of thumb is that the authors may need at least ten effect sizes per estimated moderator) \[64\], and for ‘fishing expeditions’ (also known as ‘[[data dredging]]’ or ‘[[p hacking]]’; that is, non-hypothesis-based exploration for statistical significance \[28, 65, 66\])"" p.7",NA,NA,NA,[@Nakagawa2017]
Data,Data collection,Sample Curation,input,"Selective sampling / biased sampling, e.g. convenience or opportunistic sampling.",FALSE,"Sometimes opportunistic sampling is the best we can do when collecting ecological datasets. Only clearly problematic when not communicated or intentional, which in the latter case is a clear case of misconduct.",NA,"""Collecting a sample in a way that biases the findings. e.g. (1) Researcher tests the likeability of chocolate on a group of children only in order to find that everyone loves it. (2) Using uncomparable groups: The researcher tests if men are more aggressive than women. For comparison, women from a university are compared with men from a prison. (3) Picking a subsample of a panel dataset to find the desired results."" \...\ ""convenience sampling""",NA,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Compromised generalizability, Reduced replicability if sampling bias is not disclosed""",NA,[@Nagy2025]
Model Evaluation,Model Performance Metric,Selective Reporting,output,Selectively reporting performance metrics that increase perception of performance after fitting model and observing model evaluation / model checking results.,TRUE,Have split this practice into two.,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",NA,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",NA,[@Nagy2025]
Model Evaluation,Model Performance Metric,Executing Alternative Analyses,output,Trying out different outcome variables or model evaluation metrics unrelated to model objectives and selecting based on performance after fitting the model and/or observing model checking / model evaluation results.,TRUE,NA,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",NA,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",NA,[@Nagy2025]
Data,Data Processing,Sample Curation,input,Missing data hacking: changing the strategy to handle missing data after fitting the model and observing model checking / model performance evaluation results.,TRUE,NA,Overrates model performance and may result in spuriously selected model.,"""Choosing the strategy to handle missing data based on the impact on the results. (1) A researcher tries three ways of handling missing data, for example, listwise deletion, multiple imputation, and inverse probability weighting. The expected results only appear with inverse probability weighting. The researcher reports only this strategy in the paper and leaves out results with listwise deletion and multiple imputation. (2) Can also be within a single method, specifically multiple imputation, since it uses one or more variables to replace missing data, and the choice of these variables is up to the researcher, but can also be statistically based.""",NA,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Reduced reproducibility, Reduced replicability""",NA,[@Nagy2025]
